image_name,psnr_300,psnr_330,psnr_380,psnr_400,psnr_420,psnr_500,psnr_600
00299.jpg,22.325801849365234,21.96082353591919,21.46701574325561,20.747487545013428,20.682196617126465,17.97529935836792,16.358368396759033
01873.jpg,22.06082820892334,21.278913021087646,21.03501558303833,20.18240451812744,20.056395530700684,17.67695188522339,15.697622299194336
00306.jpg,21.63649559020996,21.44129514694214,19.785845279693604,18.866654634475708,18.319509029388428,17.107657194137573,14.288010597229004
01539.jpg,21.836981773376465,20.35217523574829,20.10204553604126,19.720922708511356,19.725217819213867,17.7048659324646,15.037841796875
00480.jpg,21.5871810913086,20.50343513488769,19.2355215549469,19.105725288391117,19.082099199295044,15.969235897064207,11.812856197357178
01433.jpg,21.915552616119385,21.87826633453369,20.987143516540527,20.198097229003903,20.31991004943848,18.95686507225037,14.71388816833496
00832.jpg,22.83979654312133,22.297863960266117,21.56604290008545,20.81928014755249,20.85479974746704,18.461663722991943,15.40540337562561
01600.jpg,23.229634761810303,23.398420810699463,21.90119981765747,21.515426635742188,21.334729194641117,18.898802995681763,15.30699372291565
01584.jpg,21.26918315887451,20.828347206115723,20.05249261856079,19.819201231002808,19.30497646331787,17.685095071792603,14.071658849716188
00646.jpg,21.66814088821411,21.217503547668457,19.17891025543213,19.46027994155884,19.20955538749695,17.218836545944214,13.588809967041016
00729.jpg,21.014704704284668,20.341854095458984,20.04307985305786,19.664108753204346,19.57846760749817,17.898647785186768,14.562604427337646
01774.jpg,21.45169496536255,20.736043453216556,20.443005561828613,20.190448760986328,20.21471261978149,17.372947931289673,14.747084379196169
00431.jpg,21.643295288085938,21.296558380126957,20.67682981491089,19.376702308654785,19.543793201446533,17.724353075027466,14.87849473953247
00500.jpg,21.75762414932251,21.81297540664673,19.834810495376587,20.27141571044922,19.61052298545837,17.61894702911377,13.852776288986206
01626.jpg,21.57500982284546,21.52697324752808,20.72936773300171,20.36439657211304,19.742236137390137,17.845826148986816,15.328792333602903
01135.jpg,21.22166633605957,20.691468715667725,19.87471103668213,19.011051654815677,19.256601333618164,18.208824396133423,14.367471933364868
01405.jpg,22.03128337860108,21.279056072235107,20.708467960357662,20.124025344848636,19.823384284973145,17.76559829711914,15.78354001045227
00268.jpg,24.02778148651123,22.645463943481445,22.49508619308472,21.81323528289795,21.66444540023804,20.427138805389404,17.854613065719604
01768.jpg,21.66922807693481,21.139028072357178,19.90679621696472,19.670919179916385,19.3238627910614,17.218496799468994,14.48570728302002
01720.jpg,21.144652366638184,20.749387741088867,20.21538496017456,19.804706573486328,18.888922929763797,16.68414831161499,14.515628814697266
01680.jpg,21.157326698303223,20.79270601272583,20.299649238586422,20.02969980239868,19.65185284614563,17.451552152633667,15.45501947402954
01419.jpg,22.165992259979248,22.013676166534424,20.91111660003662,20.69115400314331,21.180541515350345,18.126529455184937,16.100761890411377
00092.jpg,21.561484336853027,20.981523990631104,19.748090505599976,19.759411811828613,19.50079083442688,17.700244188308716,15.71440815925598
01846.jpg,21.6342830657959,20.75242757797241,19.589879512786865,18.991854190826416,18.6480450630188,16.56152606010437,13.577733039855955
01564.jpg,22.70406484603882,21.88485622406006,21.29382610321045,20.97393751144409,20.79782247543335,17.745720148086548,14.35346245765686
01267.jpg,21.386983394622803,20.958247184753414,19.884847402572632,19.52044367790222,19.130743741989136,16.496113538742065,13.092827796936035
00077.jpg,21.947286128997803,22.43992805480957,21.11212491989136,20.554699897766117,20.021677017211918,18.005917072296143,14.33218240737915
01989.jpg,21.359856128692627,20.93118906021118,20.073046684265137,19.54341173171997,19.29933190345764,16.121784448623657,14.402358531951904
00376.jpg,22.101078033447266,21.81638240814209,20.21296501159668,19.9905264377594,19.4026517868042,17.50874161720276,15.33488631248474
01115.jpg,21.62951946258545,20.755834579467773,19.29654002189636,18.6214280128479,18.85834097862244,16.561174392700195,14.43676233291626
01688.jpg,21.303632259368896,21.452293395996094,20.36614179611206,19.919391870498657,19.434518814086918,17.49495506286621,15.179556608200071
01019.jpg,21.385040283203125,21.09882116317749,19.631986618041992,19.3272864818573,19.05489563941956,16.54542326927185,14.203141927719116
01414.jpg,22.09463834762573,21.19374990463257,20.48088788986206,19.804141521453857,19.370259046554565,17.506529092788696,15.699981451034546
01346.jpg,23.885834217071533,22.724497318267822,21.672067642211918,21.958250999450684,21.759748458862305,19.58276391029358,16.13944172859192
