image_name,lpips,psnr,cos_sim,lpips_norm,psnr_norm,combined_score
00461.jpg,0.1482423543930053,16.582282781600952,0.9695104360580444,0.6185311624948506,0.1498715912050126,1.468659571289838
01936.jpg,0.1512997448444366,16.77506923675537,0.9605824947357178,0.6353991534764137,0.16873984373468684,1.4666593097417269
00193.jpg,0.1761454939842224,18.196825981140137,0.9819137454032898,0.7724761408869972,0.30788896221052603,1.4645871786764713
00342.jpg,0.1381969004869461,16.07802391052246,0.9727368354797364,0.563109184639916,0.10051914208084317,1.4625900425590728
01822.jpg,0.1737431734800338,18.144800662994385,0.9668970704078674,0.7592222496214877,0.3027971789733457,1.4564250706481419
01371.jpg,0.1501703560352325,16.838688850402832,0.9738715887069702,0.6291681795295255,0.1749663752364934,1.454201804293032
01286.jpg,0.1618762463331222,17.500488758087158,0.9812663197517396,0.6937509847396136,0.23973756350436773,1.454013421235246
01861.jpg,0.1602083295583725,17.450541257858276,0.9746596813201904,0.6845488872118658,0.23484913891670858,1.4496997482951572
01722.jpg,0.1278238147497177,15.801153182983398,0.9506180882453918,0.5058796225522092,0.07342145619260339,1.4324581663596057
01484.jpg,0.1654334664344787,17.95517086982727,0.9857600927352904,0.7133765960386305,0.2842378729175281,1.4291387231211024
00449.jpg,0.1558622121810913,17.500474452972412,0.9806175827980042,0.6605708347225365,0.23973616344481852,1.420834671277718
00937.jpg,0.1254052817821502,15.819343328475952,0.9456952810287476,0.492536285175577,0.07520174858103965,1.4173345365945373
01803.jpg,0.1494532376527786,17.205883264541626,0.9684404730796814,0.6252117511308294,0.21090415379000788,1.4143075973408217
00598.jpg,0.1873302012681961,19.341329336166385,0.9447121620178224,0.8341835167012868,0.4199029432051847,1.4142805734961021
01845.jpg,0.1542853116989135,17.485945224761963,0.970780074596405,0.651870885031863,0.23831416962934823,1.4135567154025148
00553.jpg,0.1363503634929657,16.49692177772522,0.9558783769607544,0.5529216178713331,0.141517202531681,1.411404415339652
01018.jpg,0.1377784460783004,16.602941751480103,0.9695541262626648,0.5608005213195583,0.15189351053731484,1.4089070107822435
01685.jpg,0.1574180424213409,17.774351835250854,0.9554492831230164,0.6691545373533494,0.2665408868723883,1.4026136504809612
01320.jpg,0.1442386507987976,17.091563940048218,0.9699841737747192,0.5964422480454936,0.19971557790258013,1.3967266701429135
01921.jpg,0.142199695110321,17.011430263519287,0.9744392037391664,0.5851930841878223,0.19187279432285187,1.3933202898649704
00333.jpg,0.1338684856891632,16.542943716049194,0.950123369693756,0.5392287994116288,0.14602142744471397,1.393207371966915
00839.jpg,0.1445356607437133,17.178868055343628,0.9787973165512084,0.5980808876474218,0.20826014133134463,1.3898207463160772
00003.jpg,0.1222720220685005,15.929608345031738,0.9757215976715088,0.4752497143458696,0.08599352425789844,1.3892561900879712
00327.jpg,0.1686461418867111,18.57960820198059,0.9812166094779968,0.7311013130532911,0.34535233898615153,1.3857489740671396
00190.jpg,0.1701897382736206,18.68592143058777,0.9654620885849,0.7396175200432664,0.35575734821254396,1.3838601718307224
00109.jpg,0.1306028068065643,16.459412574768066,0.9504554867744446,0.5212116560943363,0.13784612972205085,1.3833655263722855
00164.jpg,0.1651330590248108,18.41703176498413,0.9659521579742432,0.711719212214886,0.32944077888112844,1.3822784333337577
01578.jpg,0.1282280683517456,16.3679838180542,0.958013951778412,0.5081099383138349,0.1288978824566005,1.3792120558572343
00595.jpg,0.1546987891197204,17.867172956466675,0.9315918684005736,0.6541520897114896,0.2756254066006274,1.3785266831108622
01890.jpg,0.1372733414173126,16.918481588363647,0.9737598896026612,0.5580137981313901,0.18277579073029906,1.375238007401091
01796.jpg,0.1696399301290512,18.79358053207397,0.982901096343994,0.7365841623575168,0.3662940797081899,1.3702900826493267
01939.jpg,0.129533365368843,16.536414623260498,0.9638497829437256,0.515311419008704,0.14538241693213352,1.3699290020765704
01394.jpg,0.1504787504673004,17.747220993041992,0.9573531150817872,0.6308696287168384,0.26388555726570234,1.366984071451136
00583.jpg,0.1275462508201599,16.47557020187378,0.9745665192604064,0.5043482689567284,0.13942749698287168,1.3649207719738565
00541.jpg,0.1420955657958984,17.313227653503418,0.9747989177703856,0.5846185902314569,0.22141008397557177,1.3632085062558852
00758.jpg,0.1586285978555679,18.25371026992798,0.9782387018203736,0.6758333173363458,0.3134562990079178,1.362377018328428
00566.jpg,0.1189109086990356,16.01722240447998,0.9510258436203004,0.4567060474819911,0.09456842231022893,1.3621376251717623
00960.jpg,0.1272507458925247,16.51251196861267,0.9680668115615844,0.5027179327162181,0.14304303409705027,1.3596748986191678
01092.jpg,0.1373717337846756,17.125145196914673,0.9800752997398376,0.5585566406605662,0.20300221769432594,1.3555544229662404
00015.jpg,0.1388637274503708,17.21037745475769,0.9622064232826232,0.5667881492288336,0.2113440058317147,1.355444143397119
01088.jpg,0.1157457455992698,15.920305252075195,0.9673983454704284,0.4392434618325096,0.08508301886440237,1.3541604429681073
00068.jpg,0.138270303606987,17.21162438392639,0.9720908999443054,0.5635141584849441,0.21146604435575325,1.352048114129191
00087.jpg,0.1192848831415176,16.159043312072754,0.9541024565696716,0.45876930947725514,0.10844861268099269,1.3503206967962624
01252.jpg,0.1362921893596649,17.16265559196472,0.9578319191932678,0.5526006641784807,0.2066734071755852,1.3459272570028955
01420.jpg,0.1158599108457565,16.02197527885437,0.9619898796081544,0.4398733252335823,0.09503359209545045,1.3448397331381319
01809.jpg,0.1292551755905151,16.785507202148438,0.9569140672683716,0.5137766125302573,0.16976142051908608,1.3440151920111711
00011.jpg,0.1313852369785308,16.92264199256897,0.968287467956543,0.5255284174939983,0.18318297471585793,1.3423454427781403
